Frequent Itemset,Support Percent
"('citrus fruit',)",1.026944585663447
"('yogurt',)",4.016268429079817
"('whole milk', 'other vegetables', 'rolls/buns')",1.7895271987798678
"('whole milk', 'other vegetables', 'yogurt')",1.3523131672597866
"('whole milk', 'other vegetables')",7.483477376715811
"('whole milk', 'yogurt')",1.9318759532282663
"('whole milk', 'soda')",2.1657346212506354
"('whole milk', 'rolls/buns')",3.873919674631418
"('whole milk', 'root vegetables')",1.1387900355871887
"('whole milk', 'bottled water')",1.0574478901881037
"('whole milk',)",25.551601423487547
"('rolls/buns', 'soda')",2.3995932892730045
"('rolls/buns',)",10.259278088459583
"('other vegetables', 'rolls/buns')",2.4707676664972036
"('other vegetables', 'root vegetables')",1.179461108286731
"('other vegetables', 'yogurt')",1.3421453990849008
"('other vegetables', 'soda')",1.331977630910015
"('other vegetables',)",11.86578546009151
"('tropical fruit',)",1.840366039654296
"('newspapers',)",1.4743263853584139
"('pastry',)",1.6166751398068124
"('bottled water',)",3.2638535841382814
"('soda', 'bottled water')",1.2404677173360448
"('soda',)",9.15099135739705
"('canned beer',)",3.5383833248601935
"('sausage',)",1.443823080833757
"('root vegetables',)",1.8505338078291813
"('shopping bags',)",2.6131164209456026
"('bottled beer',)",2.40976105744789
