Frequent Itemset,Support Percent
,
"('citrus fruit',)",1.026944586
,
"('yogurt',)",4.016268429
,
"('whole milk', 'other vegetables', 'rolls/buns')",7.158108795
,
"('whole milk', 'other vegetables', 'yogurt')",5.409252669
,
"('whole milk', 'other vegetables')",14.96695475
,
"('whole milk', 'yogurt')",3.863751906
,
"('whole milk', 'soda')",4.331469243
,
"('whole milk', 'rolls/buns')",7.747839349
,
"('whole milk', 'root vegetables')",2.277580071
,
"('whole milk', 'bottled water')",2.11489578
,
"('whole milk',)",25.55160142
,
"('rolls/buns', 'soda')",4.799186579
,
"('rolls/buns',)",10.25927809
,
"('other vegetables', 'rolls/buns')",4.941535333
,
"('other vegetables', 'root vegetables')",2.358922217
,
"('other vegetables', 'yogurt')",2.684290798
,
"('other vegetables', 'soda')",2.663955262
,
"('other vegetables',)",11.86578546
,
"('tropical fruit',)",1.84036604
,
"('newspapers',)",1.474326385
,
"('pastry',)",1.61667514
,
"('bottled water',)",3.263853584
,
"('soda', 'bottled water')",2.480935435
,
"('soda',)",9.150991357
,
"('canned beer',)",3.538383325
,
"('sausage',)",1.443823081
,
"('root vegetables',)",1.850533808
,
"('shopping bags',)",2.613116421
,
"('bottled beer',)",2.409761057
